"ASIGNATURA_REFERENCIA","MATRICULA_CURSO_ACADEMICO","GRUPO_ID","INGLES","ASIGNACION_MANUAL","MATRICULA_EXPEDIENTES_NEXP"
"51000","20/21","","","",104100111
"51002","20/21","","","",104100111
"51003","20/21","","","",104100111
"51138","20/21","","","",104200112
"51139","20/21","","","",104200112
"51140","20/21","","","",104200112
"51141","20/21","","","",104200112
"51142","20/21","","","",104200112
"51143","20/21","","","",104200112
"51144","20/21","","","",104200112
"51145","20/21","","","",104200112
"51146","20/21","","","",104200112
"51147","20/21","","","",104200112
"53008","20/21","","","",105600113
"53009","20/21","","","",105600113
"53010","20/21","","","",105600113
"53011","20/21","","","",105600113
"53012","20/21","","","",105600113
"53013","20/21","","","",105600113
"53014","20/21","","","",105600113
"53015","20/21","","","",105600113
"53016","20/21","","","",105600113
"53017","20/21","","","",105600113
"53011","20/21","","","",105600114
"53012","20/21","","","",105600114
"53013","20/21","","","",105600114
"53014","20/21","","","",105600114
"53015","20/21","","","",105600114
"53016","20/21","","","",105600114
"53017","20/21","","","",105600114
"53110","20/21","","","",105600114
"51673","20/21","","","",104300115
"51674","20/21","","","",104300115
"51675","20/21","","","",104300115
"51676","20/21","","","",104300115
"51677","20/21","","","",104300115
"51678","20/21","","","",104300115
"51679","20/21","","","",104300115
"51680","20/21","","","",104300115
"51681","20/21","","","",104300115
"51682","20/21","","","",104300115
"51143","20/21","","","",104200116
"51160","20/21","","","",104200116
"51161","20/21","","","",104200116
"51162","20/21","","","",104200116
"51166","20/21","","","",104200116
"51169","20/21","","","",104200116
"51171","20/21","","","",104200116
"51174","20/21","","","",104200116
"51175","20/21","","","",104200116
"51026","20/21","","","",104200116
"51040","20/21","","","",104200116
"53017","20/21","","","",105600117
"53109","20/21","","","",105600117
"53110","20/21","","","",105600117
"53111","20/21","","","",105600117
"53112","20/21","","","",105600117
"53113","20/21","","","",105600117
"53114","20/21","","","",105600117
"53115","20/21","","","",105600117
"53116","20/21","","","",105600117
"53117","20/21","","","",105600117
"53118","20/21","","","",105600117
"51143","20/21","","","",104200118
"51160","20/21","","","",104200118
"51161","20/21","","","",104200118
"51162","20/21","","","",104200118
"51166","20/21","","","",104200118
"51169","20/21","","","",104200118
"51171","20/21","","","",104200118
"51174","20/21","","","",104200118
"51175","20/21","","","",104200118
"51018","20/21","","","",104200118
"51058","20/21","","","",104200118
"50658","20/21","","","",104100119
"50659","20/21","","","",104100119
"51059","20/21","","","",104100119
"53015","20/21","","","",105600120
"53111","20/21","","","",105600120
"53113","20/21","","","",105600120
"53116","20/21","","","",105600120
"53164","20/21","","","",105600120
"53213","20/21","","","",105600120
"53221","20/21","","","",105600120
"53304","20/21","","","",105600120
"51143","20/21","","","",104200121
"51152","20/21","","","",104200121
"51160","20/21","","","",104200121
"51161","20/21","","","",104200121
"51162","20/21","","","",104200121
"51166","20/21","","","",104200121
"51169","20/21","","","",104200121
"51171","20/21","","","",104200121
"51175","20/21","","","",104200121
"51050","20/21","","","",104200121
"53296","20/21","","","",105600122
"53283","20/21","","","",105600122
"53286","20/21","","","",105600122
"51034","20/21","","","",105600122
"53304","20/21","","","",105600122
"53418","20/21","","","",105600122
"53419","20/21","","","",105600122
"53420","20/21","","","",105600122
"53422","20/21","","","",105600122
"51059","20/21","","","",104100123
"51138","20/21","","","",104200124
"51140","20/21","","","",104200124
"51141","20/21","","","",104200124
"51142","20/21","","","",104200124
"51143","20/21","","","",104200124
"51153","20/21","","","",104200124
"51155","20/21","","","",104200124
"51156","20/21","","","",104200124
"50658","20/21","","","",104100125
"50661","20/21","","","",104100125
"50662","20/21","","","",104100125
"50663","20/21","","","",104100125
"50666","20/21","","","",104100125
"50667","20/21","","","",104100125
"50994","20/21","","","",104100125
"50997","20/21","","","",104100125
"51024","20/21","","","",104100125
"50658","20/21","","","",104100126
"50663","20/21","","","",104100126
"50664","20/21","","","",104100126
"51009","20/21","","","",104100126
"51005","20/21","","","",104100126
"51057","20/21","","","",104100126
"51020","20/21","","","",104100126
"51058","20/21","","","",104100126
"53161","20/21","","","",105600127
"53162","20/21","","","",105600127
"53163","20/21","","","",105600127
"53164","20/21","","","",105600127
"53165","20/21","","","",105600127
"53211","20/21","","","",105600127
"53212","20/21","","","",105600127
"53213","20/21","","","",105600127
"53214","20/21","","","",105600127
"53215","20/21","","","",105600127
"53221","20/21","","","",105600127
"53109","20/21","","","",105600128
