"REFERENCIA","CREDITOS","OFERTADA","NOMBRE","CURSO","CARACTER","DURACION","Unidad_Temporal_(Cuatrimestre)","IDIOMAS_DE_IMPARTICION","TITULACION_CODIGO","CODIGO"
"53824",4,5,"No  ","Análisis Avanzado de Datos Clínicos (SE)",3,"","2º Semestre",,"",1056,336
"53825",4,5,"No  ","Codificación y Gestión de la Información Sanitaria (SE)",3,"","2º Semestre",,"",1056,337
"53826",4,5,"No  ","Diseño e Implementación de Sistemas de Información Clínica (SE)",3,"","2º Semestre",,"",1056,338
"53827",6,"No  ","Infraestructuras de Sistemas de Información (SE)",3,"","2º Semestre",,"",1056,339
"53828",6,"No  ","Salud Pública y Organización Sanitaria (SE)",3,"","2º Semestre",,"",1056,340
"53829",4,5,"No  ","Seguridad, Confidencialidad y Gestión de la Identidad (SE)",3,"","2º Semestre",,"",1056,341
"51147",6,"Sí  ","Tecnología de Computadores",1,"","2º Semestre",,"Solo un grupo",1042,110
"51148",6,"Sí  ","Análisis y Diseño de Algoritmos",2,"","1º Semestre",,"Solo un grupo",1042,201
"51149",6,"Sí  ","Bases de Datos",2,"","1º Semestre",,"Solo un grupo",1042,202
"51150",6,"Sí  ","Estructura de Computadores",2,"","1º Semestre",,"Solo un grupo",1042,203
"51151",6,"Sí  ","Estructura de Datos",2,"","1º Semestre",,"Solo un grupo",1042,204
"51152",6,"Sí  ","Teoría de Autómatas y Lenguajes Formales",2,"","1º Semestre",,"Solo un grupo",1042,205
"51153",6,"Sí  ","Introducción a la Ingeniería del Software",2,"","2º Semestre",,"Solo un grupo",1042,206
"51154",6,"Sí  ","Programación de Sistemas y Concurrencia",2,"","2º Semestre",,"Solo un grupo",1042,207
"51155",6,"Sí  ","Redes y Sistemas Distribuidos",2,"","2º Semestre",,"Solo un grupo",1042,208
"51156",6,"Sí  ","Sistemas Inteligentes",2,"","2º Semestre",,"Solo un grupo",1042,209
"51157",6,"Sí  ","Sistemas Operativos",2,"","2º Semestre",,"Solo un grupo",1042,210
