"ASIGNATURA_REFERENCIA","CURSO_ACADEMICO","OFERTA","GRUPO_ID"
"51147","20/21","si","IS1A"
"51147","20/21","si","IS1B"
"51147","20/21","si","IS1C"
"51147","20/21","si","IS1D"
"51148","20/21","si","IS2A"
"51148","20/21","si","IS2B"
"51148","20/21","si","IS2C"
"51148","20/21","si","IS2D"
"51149","20/21","si","IS2A"
"51149","20/21","si","IS2B"
"51149","20/21","si","IS2C"
"51149","20/21","si","IS2D"
"51150","20/21","si","IS2A"
"51150","20/21","si","IS2B"
"51150","20/21","si","IS2C"
"51150","20/21","si","IS2D"
"51151","20/21","si","IS2A"
"51151","20/21","si","IS2B"
"51151","20/21","si","IS2C"
"51151","20/21","si","IS2D"
"51152","20/21","si","IS2A"
"51152","20/21","si","IS2B"
"51152","20/21","si","IS2C"
"51152","20/21","si","IS2D"
"51153","20/21","si","IS2A"
"51153","20/21","si","IS2B"
"51153","20/21","si","IS2C"
"51153","20/21","si","IS2D"
"51154","20/21","si","IS2A"
"51154","20/21","si","IS2B"
"51154","20/21","si","IS2C"
"51154","20/21","si","IS2D"
"51155","20/21","si","IS2A"
"51155","20/21","si","IS2B"
"51155","20/21","si","IS2C"
"51155","20/21","si","IS2D"
"51156","20/21","si","IS2A"
"51156","20/21","si","IS2B"
"51156","20/21","si","IS2C"
"51156","20/21","si","IS2D"
"51157","20/21","si","IS2A"
"51157","20/21","si","IS2B"
"51157","20/21","si","IS2C"
"51157","20/21","si","IS2D"
"51160","20/21","si","IS3A"
"51161","20/21","si","IS3A"
"51162","20/21","si","IS3A"
"51166","20/21","si","IS3A"
"51169","20/21","si","IS3A"
"51171","20/21","si","IS3A"
"51174","20/21","si","IS3A"
"51175","20/21","si","IS3A"
"51195","20/21","si","IS4A"
"51180","20/21","si","IS4A"
"51181","20/21","si","IS4A"
"51182","20/21","si","IS4A"
"51186","20/21","si","IS4A"
"51198","20/21","si","IS4A"
"51673","20/21","si","IC1A"
"51673","20/21","si","IC1B"
"51673","20/21","si","IC1C"
"51674","20/21","si","IC1A"
"51674","20/21","si","IC1B"
"51674","20/21","si","IC1C"
"51675","20/21","si","IC1A"
"51675","20/21","si","IC1B"
"51675","20/21","si","IC1C"
"51676","20/21","si","IC1A"
"51676","20/21","si","IC1B"
"51676","20/21","si","IC1C"
"51677","20/21","si","IC1A"
"51677","20/21","si","IC1B"
"51677","20/21","si","IC1C"
"51678","20/21","si","IC1A"
"51678","20/21","si","IC1B"
"51678","20/21","si","IC1C"
"51679","20/21","si","IC1A"
"51679","20/21","si","IC1B"
"51679","20/21","si","IC1C"
"51680","20/21","si","IC1A"
"51680","20/21","si","IC1B"
"51680","20/21","si","IC1C"
"51681","20/21","si","IC1A"
"51681","20/21","si","IC1B"
"51681","20/21","si","IC1C"
"51682","20/21","si","IC1A"
