"ID","CURSO","LETRA","TURNO_MANNANA_TARDE","TITULACION_CODIGO","INGLES","VISIBLE","ASIGNAR","PLAZAS","GRUPO_ID","PLAZAS_NUEVO_INGRESO","SUSTITUYE_INGLES"
"II1A",1,"A","MAÑANA",1041,"no","si","si",90,"",63,"si"
"II1B",1,"B","MAÑANA",1041,"no","si","si",90,"",63,""
"II1C",1,"C","TARDE",1041,"no","si","si",,"IS1B",,""
"II1D",1,"D","MAÑANA-TARDE",1041,"si","si","no",90,"",,""
"IS1A",1,"A","MAÑANA",1042,"no","si","si",90,"",,"si"
"IS1B",1,"B","TARDE",1042,"no","si","si",90,"",,""
"IS1C",1,"C","MAÑANA",1042,"no","si","si",,"IC1A",,""
"IS1D",1,"D","MAÑANA-TARDE",1042,"si","si","no",,"II1D",,""
"IC1A",1,"A","MAÑANA",1043,"no","si","si",90,"",,"si"
"IC1B",1,"B","TARDE",1043,"no","si","si",,"IS1B",,""
"IC1C",1,"C","MAÑANA-TARDE",1043,"si","si","no",,"II1D",,""
"SA1A",1,"A","MAÑANA",1056,"no","si","si",120,"",,""
"IM1A",1,"A","MAÑANA",1073,"no","si","si",,"II1A",,"si"
"IM1D",1,"D","MAÑANA",1073,"si","si","si",,"II1D",,""
"II2A",2,"A","MAÑANA",1041,"no","si","si",90,"",,""
"II2B",2,"B","MAÑANA",1041,"si","si","si",90,"",,""
"II2C",2,"C","TARDE",1041,"no","si","si",,"IS2C",,""
"II2D",2,"D","MAÑANA",1041,"no","si","si",,"IC2A",,"si"
"IS2A",2,"A","MAÑANA",1042,"no","si","si",90,"",,""
"IS2B",2,"B","MAÑANA",1042,"si","si","si",,"II2B",,""
"IS2C",2,"C","TARDE",1042,"no","si","si",90,"",,""
"IS2D",2,"D","MAÑANA",1042,"no","si","si",,"IC2A",,"si"
"IC2A",2,"A","MAÑANA",1043,"no","si","si",90,"",,"si"
"IC2B",2,"B","MAÑANA",1043,"si","si","si",,"II2B",,""
"IC2C",2,"C","TARDE",1043,"no","si","si",,"IS2C",,""
"SA2A",2,"A","MAÑANA",1056,"no","si","si",120,"",,""
"IM2B",2,"B","MAÑANA",1073,"si","si","si",,"II2B",,""
"IM2D",2,"D","MAÑANA",1073,"no","si","si",,"IC2A",,""
"II3A",3,"A","MAÑANA",1041,"no","si","si",90,"",,""
"II3B",3,"B","MAÑANA",1041,"no","si","si",90,"",,""
"IS3A",3,"A","MAÑANA",1042,"no","si","si",120,"",,""
"IC3A",3,"A","MAÑANA",1043,"no","si","si",120,"",,""
"SA3A",3,"A","MAÑANA",1056,"no","si","si",120,"",,""
"II4A",4,"A","TARDE",1041,"no","si","si",120,"",,""
"IS4A",4,"A","MAÑANA",1042,"no","si","si",120,"",,""
"IC4A",4,"A","MAÑANA",1043,"no","si","si",120,"",,""
"SA4A",4,"A","MAÑANA",1056,"no","si","si",120,"",,""
"OPT",8,"A","MAÑANA-TARDE",1041,"no","si","si",35,"",,""
