"CURSO_ACADEMICO","ESTADO","NUM_ARCHIVO","TURNO_PREFERENTE","FECHA_DE_MATRICULA","NUEVO_INGRESO","LISTADO_ASIGNATURAS","EXPEDIENTES_NUM_EXPEDIENTE"
"20/21","Activo",306000055,"Mañana",23/09/20,"","105-,106-,107-,201-,203-,204-,205-,206-,207-,208-",104300055
"20/21","Activo",306000056,"Mañana",16/09/20,"","101-,102-,104-,105-,106-,110-,201-,202-,203-,204-,205-,206-,207-,209-,210-,301-,302-,303-,304-,305-,320-,321-,333-,334-,335-",105600056
"20/21","Activo",306000057,"Mañana",18/09/20,"","423-,932-",105600057
"20/21","Activo",306000058,"Tarde",29/09/20,"","450-,863-",104200058
"20/21","Activo",306000059,"Mañana",02/09/20,"","101-,102-,103-,104-,105-,106-,107-,108-,109-,110-",104300059
"20/21","Activo",306000060,"Mañana",02/09/20,"","101-,102-,103-,104-,105-,106-,107-,108-,109-,110-",104300060
"20/21","Activo",306000061,"Mañana",21/09/20,"","102-,103-,105-,107-,110-,203-,204-,208-,209-,210-",104100061
"20/21","Activo",306000062,"Mañana",16/09/20,"","204-,301-,302-,303-,305-,306-,307-,320-,321-,802-,850-,862-",104100062
"20/21","Activo",306000063,"Mañana",27/09/20,"","101-,102-,103-,104-,105-,106-,107-,109-,110-",104100063
"20/21","Activo",306000064,"Mañana",18/09/20,"","450-",104200064
"20/21","Activo",306000065,"Mañana",19/09/20,"","301-,302-,303-,304-,305-,306-,307-,308-,803-,852-",104200065
"20/21","Activo",306000066,"Mañana",16/09/20,"","101-,301-,302-,303-,305-,306-,307-,320-,321-,802-,864-",104100066
"20/21","Activo",306000067,"Mañana",24/07/20,"","",104200067
"20/21","Activo",306000068,"Mañana",21/09/20,"","101-,104-,204-,207-,306-,308-,405-,863-",104200068
"20/21","Activo",306000069,"Mañana",20/09/20,"","101-,106-,201-,204-,302-,431-,450-,863-",104100069
"20/21","Activo",306000070,"Mañana",16/09/20,"","201-,202-,203-,204-,205-,206-,207-,208-,209-,210-",104100070
"20/21","Activo",306000071,"Mañana",06/08/20,"","101-,102-,103-,104-,105-,106-,107-,108-,109-,110-",105600071
